,K_GRM,r_GRM,p_GRM,a_GRM,K_logi,C0_logi,r_logi,peak_GRM,peak_logi,rs_grm,rs_logi,exp_m,exp_ci_h,exp_ci_l,pvalue,rsquare,enddate,peakdate,startdate,density,population,endcount,travel_hubei,travel_wuhan,days_start_peak
KR,,,,,,,,,,,,,,,,,2020-02-04 00:00:00,2020-03-01 00:00:00,,,,,,,
IR,,,,,,,,,,,,,,,,,,,,,,,,,
IT,,,,,,,,,,,,,,,,,2020-02-12 00:00:00,2020-03-04 00:00:00,,,,,,,
diamond_princess,,,,,,,,,,,,,,,,,2020-02-28 00:00:00,2020-02-17 00:00:00,,,,,,,
china_ex_hubei,,,,,,,,,,,,,,,,,2020-02-19 00:00:00,2020-02-01 00:00:00,,,,,,,
Shenzhen,,,,,,,,,,,,,,,,,2020-02-19 00:00:00,2020-02-01 00:00:00,,,,,,,
Europe,,,,,,,,,,,,,,,,,2020-02-04 00:00:00,2020-03-04 00:00:00,,,,,,,
CentralEurope,,,,,,,,,,,,,,,,,2020-02-04 00:00:00,2020-03-04 00:00:00,,,,,,,
Wenzhou,,,,,,,,,,,,,,,,,2020-02-17 00:00:00,2020-01-28 00:00:00,,,,,,,
Guangzhou_ex_Shenzhen,,,,,,,,,,,,,,,,,2020-02-19 00:00:00,2020-02-01 00:00:00,,,,,,,
Zhejiang_ex_Wenzhou,,,,,,,,,,,,,,,,,2020-02-13 00:00:00,2020-01-30 00:00:00,,,,,,,
Xizang,,,,,,,,,,,,,,,,,,,2020-01-28,2.1,3371500.0,1.0,1.54,0.58,
Hubei,,,,,,,,,,,,,,,,,,,,325.0,59020000.0,67666.0,,,
